observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-26T09:45:56.818888Z,2025-04-26T09:45:56.820120Z,1.232 ms,1.9359868421052628 ms,1.052 ms,12.762 ms,76
2025-04-26T09:45:56.866320Z,2025-04-26T09:45:56.867395Z,1.075 ms,1.9248051948051945 ms,1.052 ms,12.762 ms,77
2025-04-26T09:45:56.909127Z,2025-04-26T09:45:56.910362Z,1.2349999999999999 ms,1.9159615384615385 ms,1.052 ms,12.762 ms,78
2025-04-26T09:45:56.949924Z,2025-04-26T09:45:56.951071Z,1.147 ms,1.9062278481012658 ms,1.052 ms,12.762 ms,79
2025-04-26T09:45:56.990428Z,2025-04-26T09:45:57.000049Z,9.620999999999999 ms,2.0026625 ms,1.052 ms,12.762 ms,80
2025-04-26T09:45:57.045868Z,2025-04-26T09:45:57.047015Z,1.147 ms,1.9920987654320987 ms,1.052 ms,12.762 ms,81
2025-04-26T09:45:57.088034Z,2025-04-26T09:45:57.089226Z,1.192 ms,1.9823414634146341 ms,1.052 ms,12.762 ms,82
2025-04-26T09:45:57.129650Z,2025-04-26T09:45:57.130918Z,1.268 ms,1.9737349397590362 ms,1.052 ms,12.762 ms,83
2025-04-26T09:45:57.169149Z,2025-04-26T09:45:57.170306Z,1.157 ms,1.9640119047619047 ms,1.052 ms,12.762 ms,84
2025-04-26T09:45:57.208444Z,2025-04-26T09:45:57.212979Z,4.535 ms,1.9942588235294119 ms,1.052 ms,12.762 ms,85
2025-04-26T09:45:57.247262Z,2025-04-26T09:45:57.248391Z,1.129 ms,1.9841976744186043 ms,1.052 ms,12.762 ms,86
2025-04-26T09:45:57.285848Z,2025-04-26T09:45:57.286918Z,1.07 ms,1.9736896551724135 ms,1.052 ms,12.762 ms,87
2025-04-26T09:45:57.326606Z,2025-04-26T09:45:57.327777Z,1.171 ms,1.9645681818181815 ms,1.052 ms,12.762 ms,88
2025-04-26T09:45:57.369771Z,2025-04-26T09:45:57.370941Z,1.17 ms,1.9556404494382023 ms,1.052 ms,12.762 ms,89
2025-04-26T09:45:57.408931Z,2025-04-26T09:45:57.425020Z,16.089 ms,2.1126777777777774 ms,1.052 ms,16.089 ms,90
2025-04-26T09:45:57.470038Z,2025-04-26T09:45:57.471257Z,1.219 ms,2.1028571428571423 ms,1.052 ms,16.089 ms,91
2025-04-26T09:45:57.511595Z,2025-04-26T09:45:57.512748Z,1.153 ms,2.092532608695652 ms,1.052 ms,16.089 ms,92
2025-04-26T09:45:57.552239Z,2025-04-26T09:45:57.553372Z,1.1329999999999998 ms,2.0822150537634405 ms,1.052 ms,16.089 ms,93
2025-04-26T09:45:57.590519Z,2025-04-26T09:45:57.591664Z,1.145 ms,2.0722446808510635 ms,1.052 ms,16.089 ms,94
2025-04-26T09:45:57.629885Z,2025-04-26T09:45:57.634295Z,4.41 ms,2.096852631578947 ms,1.052 ms,16.089 ms,95
2025-04-26T09:45:57.669632Z,2025-04-26T09:45:57.671061Z,1.4289999999999998 ms,2.089895833333333 ms,1.052 ms,16.089 ms,96
2025-04-26T09:45:57.711024Z,2025-04-26T09:45:57.712069Z,1.045 ms,2.079123711340206 ms,1.045 ms,16.089 ms,97
